,text,threat
19,"shut asswipe, care decapit mother shit her(his?) neck go back wetland fuck http://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawkinghttp://en.wikipedia.org/wiki/the_real_stephen_hawk http://en.wikipedia.org/wiki/the_real_stephen_hawk",1
20,piss suck dick pussi,1
21,fuck off continu edit small thing see them fuck wikinazi wikipedia edit communiti fall piec ...,1
22,shall never take find locat die free rate never separ again longer conscious it cannot continu life without me gave sort life him gift must die... must...die... must...,1
23,edit edit vandal stop die,1
24,georg washington heard mother fucker like... god damn dicks...,1
25,fuck ... forev,1
26,nuisanc piec shit fuck off wiki need vandal,1
27,you hate salvo suck hate manhol,1
28,hey fuck tardi stop delet page bitch must realli old fat a cent fuck life delet perfect fine articl sever time get life faggot stop troll wikipedia mean serious wikipedia life,1
29,a hey dude suck dog cock dog suck your a preced unsign comment ad a:ca::::eff:fece:acb a,1
30,"a fucker get real job instead look thing call """"vandalism"""" realiti truth",1
31,eat shit die faggot,1
32,fuck offfff.!!!!!!!!!!!!!,1
33,repli cannot fuck block me kiss royal thai as ...,1
34,idiot find street kick as,1
35,translat impot fucker,1
36,up he fraud fuck fraud!!!!!!,1
37,want meet one day stab death never stop laugh watch die bleed heavili final succumb,1
38,as bitch fuck cock sucker,1
39,whi rude want help motherfuck fuck retard retard hope die serious die!!!,1
40,impend death libel violat copyright go kill you,1
41,fuck son bitch fuck bastard child.fuck littl prick.shov edit as,1
42,dag better shut make fun u even though american and call fuck dishwash kick fuck monkey as,1
43,crockeri suck in be go or cd cd a in he be la la,1
44,small penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////smal penis/////. ohm one,1
45,"fuck orang sued soft fuck orang sued sofa cluebot, cluebotng, megizue, dread walrus jan delaney want caber bulli person attack anonym hate you",1
46,go punt cat about die invent cyber-cat geek howev proceed punt that,1
47,''jforget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck faggot gay as chink nigger cocksuck piec shit forget fuck,1
48,fuck cunt go track fuck head piec shit,1
49,gay fuck faggot,1
50,fuck thule brain dead fuck cannot block me thank proxi server anon brows come wiki zillion time scum like think block big surpris faggot give last chanc civil way stop vandal kasha jeffrey fuck canadian content advanc empti brain conceiv last want leav messag write do use predefin one liner see yea armhol joey,1
51,hey!!!!!!! thank re-edit contribut realli kind you!!!!!!! hope get bowel cancer,1
52,wash dirti peni give shit wash fuck dirti peni give shit,1
53,hope world aircraft dy long pain death world aircraft suck biggest donkey ball planet cannot express much hate piec wank hope rape stab drown rape dead drown blood stab afterward buri foot deep pit full maggot finish it whole pit set alight a match,1
54,jerk jolli fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck comput,1
55,a suck cock motherfuck fuck loser wikipedia polic get fuck life instead wast life sorri as loser site...whi get life get laid,1
56,suck dick faggot full yourself ...,1
57,rev rave edit rev back destroy you,1
58,whi hello mr.fuck jackass cunt rememb me gone.suck fuck cock,1
59,"a must """"tali-ihantala of finland germani sweden norway join forc kill everi fuck russian war crimin mad insan dictat stalin sent all ruthless muski thief stole karelia finland give back vodka drink bastard troubl",1
60,fuck georg get point akita sharmota,1
61,help becom admin fuck find yea fuck kill yea gross fuck homosexu deserv upgrad,1
62,suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!'you suck!!!! suck!!!!'you suck!!!!you suck!!!!,1
63,bout go fuck,1
64,quiet fuck tell do post want want like it get cancer die,1
65,dickhead dickhead dickhead take bed show dickhead dickhead dickhead dickhead go fuck tonight,1
66,fuck you dare resp bitch thought someth best thing ever have,1
67,"a fuck spastic access via proxi use one home comput one a work in a countri plus librari mate comput internet cafe home abroad mobil pc world shops...bas anywher like go ban everyon edit mani fuck mistak site anyway billion look friend wank stupid everi time someon famous dy must first updat wikipedia pathet hitler wheelchair bastard wank hitter knobhead""",1
68,smell like peni,1
69,kill fuck twat shove knife heart bold text,1
70,hope dy atheist tilth wife gone follow soon give u rest paedophilia behaviour,1
71,stay busi go ahead keep shithead kick as to!!!,1
72,stupid fuck volcano,1
73,hate armenia dumb alli deserv live cannot wait till kill guy a,1
74,get fuck keyboard warrior block bother one bit awar rule seen load link commerci site,1
75,hi bpm parodi hello go kill gulf you spill oil bodi light yea shoot yea dead bodi evil,1
76,mindless faggot pig pleas god burn fuck maggot death hell offend sen mindless self import fuck pest god hate hate,1
77,fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth fuck fuck get warn noth,1
78,fuck armhol keep delet angri video game nerd page articl peopl way le notabl him fuck youpedant fuck mean jesus christ fuck decid spend time edit wikipedia guy think part someth special someth boon care pedant fuck fuck,1
79,of fuck dave sousa of,1
80,anyon support fuck sick men underag fuck kids?????????????????????????????? fuck shot kill bunch fuck faggot paedophil die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die die die die die die did eddi die die die renew,1
81,fuck cunt revert mosh movi ill mosh face prick,1
82,you got gun ill shoot,1
83,take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars take ars,1
84,dumb mexican punk god god problem go die hole loser,1
85,fuck saki bastard take sad pathet life somewher els,1
86,cannot stop me ill come back tomorrow know ban day!!!!! fuck wikipedia!!!!!!!,1
