,text,threat
14,"Personal Attack Number 2 

This is another personal attack about you being a massive donkey dick sucking homosexual. This is a concerned plea that you should at once drown yourself in a sewer. Fucking fuck off you fag! And if you threaten me with legal action again, I'll fucking come over there, tie you to your computer chair and stick my cock up your arse until it bleeds. You fucker!!",1
15,fucK of ff f f f f f f f f,1
16,"We need to talk... 

Do you suck dick private? BULL SHIT!  I bet you could suck a golf ball through a garden hose! 

Seriously though, we need to have a talk about your editing habits.  Drop by my talk page. |Talk",1
17,"If not, I'm a fucking moron who should fuck off and stop being such an imbecile.",1
18,"You're a motherfucking homo try getting a life. You delete perfectly good articles for no good reason then insult the maker of the account.
It's your own fault everyone's been attacking you, you good-for-nothing fuck.
And fuck this filter that tried to stop me, it can't protect you from the truth.
This is going to keep happening, from me, from the people you fucked over, from their friends.
And stop salting your hair you freak, you look like a goddamned hobo!",1
19,"Shut up you asswipe, we don't care. I'll decapitate your mother and shit down her(his?) neck. Go back to Jewland you fuck. 

http://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawkinghttp://en.wikipedia.org/wiki/The_Real_Stephen_Hawking

http://en.wikipedia.org/wiki/The_Real_Stephen_Hawking",1
20,"Piss Off 

Suck my dick you pussy",1
21,"Fuck off. I will continue to edit small things as I see them. You fucking wikinazis are why Wikipedia's editing community is falling to pieces. 
60.226.138.94",1
22,"But you shall never take me or find my location. I'll die a free rat.

Never to be separated again, until they were no longer conscious of it.

It can't be that he continues his life without me! I gave this sort of life to him! It was my gift! He too must die... must...die... must...",1
23,"you edit 

YOU EDIT IS VANDAL! STOP OR DIE!",1
24,"George Washington 

I heard that mother fucker had like... 30 god damn dicks...",1
25,"FUCK YOU 

70.17.2.2 Forever",1
26,"Nuisance piece of shit, fuck off, wiki doesn't need your vandalism",1
27,YO I HATE YOU  Salvio YOU SUCK I HATE YOU A-HOLE,1
28,"Hey F**K T*RD, STOP deleting my page bi*ch. You must really be an OLD FAT A$S C*NT with no F*ckin life, deleting a perfectly fine article over several times. Get a life fagg0t and stop trolling on Wikipedia, I mean seriously 
is Wikipedia your life??",1
29,"""

hey dude
you sucked your dog's cock or your dog sucked yours?  — Preceding unsigned comment added by 2A00:1CA8:18:0:216:3EFF:FECE:1ACB   """,1
30,"""

 FUCKER 

why don't you get a real job instead of just looking for things you call """"vandalism"""" when in reality it's the truth.""",1
31,eat shit an die faggot.,1
32,Fuck offfff.!!!!!!!!!!!!!,1
33,"Reply 

YOU CAN'T FUCKIN BLOCK ME!

KISS MY ROYAL THAI ASS.

122.106.14.163",1
34,"ediot 

if i find you on street i will kick ur ass",1
35,translation: You are an impotent fucker.,1
36,"up, HES A FRAUD, A FUCKING FRAUD!!!!!!",1
37,"I want to meet you one day and stab you to death, and will never stop laughing as I watch you die bleeding heavily until you finally succumb.",1
38,IN THE ASS BITCH FUCKING COCK SUCKER!,1
39,"=why are you being so rude? i only want to help you motherfuckers. fuck! retards! you're such retards! i hope you all die! seriously, die!!!",1
40,"Your impending death 

Because of your libel and violations of copyright, I am going to kill you.",1
41,fuck you you son of a bitch you fucking bastard child.fuck off you little prick.shove the editing up your ass,1
42,dawg you better shut up dont make fun of the US even though im not American aand DONT BE CALLING ME NO FUCKING DISHWASHER OR KICK YOUR FUCKING MONKEY ASS,1
43,very crocker sucks n e g r o c o c k s i n h e l l,1
44,"Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////Small penis/////.                               Oh, You don't have one",1
45,"Fuck you Orange Suede Sof 

Fuck you Orange Suede Sofa, ClueBot, ClueBotNG, Megizue, Dreaded Walrus and J. Delanoy. You wanna be cyber bullied for personal attacks? Anonymous hates you.",1
46,"I'm going to punt your cat about, then it will die. Then you can invent a cyber-cat you geek. However, I will proceed to punt that.",1
47,'''JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK,1
48,You are a fucking cunt and I am going to track you down fuck head piece of shit.,1
49,"your gay 

you're a fucking faggot",1
50,"FUCK YOU THUE 

YOU BRAIN DEAD FUCK, YOU CAN'T BLOCK ME. THANKS TO PROXY SERVERS AND ANON BROWSING I CAN COME TO WIKI ZILLION TIMES SO IF SCUM LIKE YOU THINK THAT YOU CAN BLOCK ME THEN YOU ARE IN FOR BIG SURPRISE YOU FAGGOT. I AM GIVING YOU LAST CHANCE IN CIVILIZED WAY TO STOP VANDALIZING KASH JAFFREY. DON'T FUCK WITH CANADIAN CONTENT, ITS TO ADVANCE FOR YOUR EMPTY BRAIN TO CONCIEVE. AND LASTLY IF YOU WANT TO LEAVE MESSAGE THEN WRITE (DON'T USE PREDEFINE ONE LINERS.) SEE YA ASSHOLE

JOEY",1
51,hey!!!!!!! thank you for re-editing my contributions it was really kind of you!!!!!!! i hope you get bowel cancer,1
52,"Wash your dirty penis before giving shit 

Wash your fucking dirty penis before giving shits",1
53,"I hope World of Warcraft dies a long and painful death
World of Warcraft sucks the biggest donkey balls on this planet. I cannot express how much I hate this piece of wank other than hoping it is raped, stabbed, drowned, raped again when it's dead, drown it in its own blood from being stabbed. Afterwards, it should be buried in a 150 feet deep pit full of maggots and when they have finished with it, the whole pit should be set alight with 20,000 matches.",1
54,"jerk me jolly 

fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
fuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuckfuck
computers",1
55,"""

 SUCK MY COCK MOTHERFUCKERS 

Why don't you fuckin' loser """"wikipedia police"""" get a fuckin' life.  Instead of wasting your lives on this sorry ass loser site...why don't u get a life and get laid.""",1
56,"Suck dick faggot, you're full of yourself. 71.94.7.228",1
57,"RV 

YOU HAVE RVED MY EDIT.  RV IT BACK, OR I WILL DESTROY YOU.",1
58,"Why, hello, Mr.Fucking jackass cunt, remember me? I wasnt gone.Suck my fucking cock.",1
59,"""

 Must be """"Tali-Ihantala 1944"""" where Finland, Germany, Sweden and Norway joined forces and killed every f*cking Russian war criminal that mad insane dictator STALIN sent once and for all. Those ruthless Russkie thieves stole the Karelia from Finland. Give it back you vodka drinking bastards or there will be trouble.""",1
60,"FUCK YOU GEORGE 

YOU GET MY POINT, AKHTAK SHARMOTA",1
61,"Help! 

If you become an admin, I will fuckin find ya then fuckin kill ya because you are a gross, fuckin homosexual who doesn't deserve the upgrade.",1
